Razão Social,CNPJ,Situação da Última Solicitação,Linhas de Fornecimento,Tipo,Situação Documento,Documento,Marcas e Representações,Status,Data de Vencimento,Situação Análise Documento
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,NEUTRO,CERTIDÃO NEGATIVA DE DÉBITOS DOS TRIBUTOS FEDERAIS,,Vencido,2026-04-22T00:00:00-04:00,APROVADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,NEUTRO,CERTIDÃO NEGATIVA RECEITA ESTADUAL,,Vencido,2026-03-21T00:00:00-04:00,APROVADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,NEUTRO,CERTIDÃO NEGATIVA RECEITA MUNICIPAL,,Vencido,2026-04-08T00:00:00-04:00,APROVADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,NEUTRO,CERTIFICADO DE REGULARIDADE FGTS,,Vencido,2026-02-06T00:00:00-04:00,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,NEUTRO,CIPA - composição / reuniões / atas/ treinamento,,A vencer,2026-08-21T00:00:00-04:00,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,REGULAR,CND Federal,,Vencido,2026-04-22T00:00:00-04:00,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,,COMPROVANTE BANCÁRIO DE PAGAMENTO DOS SALÁRIOS,,Não anexado,,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,NEUTRO,CONSULTA ATUALIZADA DE OPTANTE DO SIMPLES NACIONAL,,A vencer,2027-01-12T00:00:00-04:00,APROVADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,NEUTRO,CONVENÇÃO COLETIVA DA CATEGORIA,,A vencer,2026-08-14T00:00:00-04:00,REPROVADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,REGULAR,Cartão CNPJ,,A vencer,2026-12-23T00:00:00-04:00,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,REGULAR,Certidão Negativa de Débitos Trabalhistas,,Vencido,2026-06-21T00:00:00-04:00,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,NEUTRO,Comprovante de Inscrição Sintegra,,A vencer,2028-01-12T00:00:00-04:00,APROVADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,NEUTRO,DCTFWEB,,Vencido,2026-02-20T00:00:00-04:00,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,NEUTRO,DECLARAÇÃO DE EXISTÊNCIA DE SUBCONTRATAÇÃO,,N/A,,APROVADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,,FOPAG - (FOLHA DE PAGAMENTO + RESUMO),,Não anexado,,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,NEUTRO,GFD - GUIA DO FGTS DIGITAL MENSAL,,Vencido,2026-02-20T00:00:00-04:00,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,NEUTRO,GRRF - GUIA DE RECOLHIMENTO RESCISÓRIO DO FGTS,,N/A,,REPROVADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,REGULAR,IBAMA - Certidão Negativa de Débitos,,Vencido,2026-01-22T00:00:00-04:00,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,REGULAR,IBAMA - Certidão Negativa de Embargos,,Vencido,2026-01-22T00:00:00-04:00,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,NEUTRO,IBAMA - Consulta de Regularidade,,Vencido,2026-04-15T00:00:00-04:00,APROVADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,NEUTRO,KIT RESCISÃO,,N/A,,APROVADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,NEUTRO,Laudo de Periculosidade,,A vencer,2027-01-15T00:00:00-04:00,APROVADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,NEUTRO,Laudo de insalubridade,,A vencer,2027-01-16T00:00:00-04:00,APROVADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,NEUTRO,PCMSO,,A vencer,2026-07-25T00:00:00-04:00,REPROVADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,NEUTRO,PGR,,A vencer,2027-07-25T00:00:00-04:00,REPROVADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,NEUTRO,RECIBO DE FÉRIAS + COMPROVANTE DE PAGAMENTO,,N/A,,NÃO ANALISADO
